id,business_name,amount_received,purpose,city,state
5,ABUNDANT HOUSING LA ACTION FUND,25000,GENERAL OPERATING SUPPORT,LOS ANGELES,CA
6,ALLIANCE OF CALIFORNIANS FOR COMMUNITY EMPOWERMENT ACTION,100000,AFFORDABLE HOUSING,LOS ANGELES,CA
7,ALLIANCE OF CALIFORNIANS FOR COMMUNITY EMPOWERMENT ACTION,100000,AFFORDABLE HOUSING,LOS ANGELES,CA
8,AMERICA IS BETTER,150000,IMMIGRATION REFORM,WASHINGTON,DC
9,AMERICAN BUSINESS IMMIGRATION COALITION ACTION,150000,IMMIGRATION REFORM,CHICAGO,IL
10,AMERICA'S VOICE,125000,GENERAL OPERATING SUPPORT,WASHINGTON,DC
11,BAY AREA HOUSING ADVOCACY COALITION,200000,GENERAL OPERATING SUPPORT,SAN FRANCISCO,CA
12,BAY AREA HOUSING ADVOCACY COALITION,15000,AFFORDABLE HOUSING,SAN FRANCISCO,CA
13,BIPARTISAN POLICY CENTER ACTION INC,125000,IMMIGRATION REFORM,WASHINGTON,DC
14,CALIFORNIA YIMBY,14476,GENERAL OPERATING SUPPORT,SACRAMENTO,CA
15,CALIFORNIANS AGAINST THE PRISON SPENDING SCAM,250000,GENERAL OPERATING SUPPORT,SACRAMENTO,CA
16,CALIFORNIANS AGAINST THE PRISON SPENDING SCAM,1000000,GENERAL OPERATING SUPPORT,SACRAMENTO,CA
17,CALIFORNIANS AGAINST THE PRISON SPENDING SCAM,1000000,GENERAL OPERATING SUPPORT,SACRAMENTO,CA
18,CASA DE MARYLAND INC,200000,IMMIGRATION REFORM,HYATTSVILLE,MD
19,CASA IN ACTION INC,100000,IMMIGRATION REFORM,HYATTSVILLE,MD
20,CENTER FOR AMERICAN PROGRESS ACTION FUND,175000,IMMIGRATION REFORM,WASHINGTON,DC
21,COUNTY OF ALAMEDA CA,100000,AFFORDABLE HOUSING,ALAMEDA,CA
22,DRUG POLICY ACTION,250000,GENERAL OPERATING SUPPORT,NEW YORK,NY
23,FWDUS INC,22243930,GENERAL OPERATING SUPPORT,WASHINGTON,DC
24,FWDUS INC,250000,IMMIGRATION REFORM,WASHINGTON,DC
25,INSTITUTE FOR HIGHER EDUCATION POLICY,40000,PELL GRANT ELIGIBILITY,WASHINGTON,DC
26,JUSTICE AND ACCOUNTABILITY CENTER OF LOUISIANA,75000,CLEAN SLATE REFORM,NEW ORLEANS,LA
27,MORE TREATMENT FOR A BETTER OREGON YES ON 110,500000,GENERAL OPERATING SUPPORT,PORTLAND,OR
28,NEIGHBORS FOR AN AFFORDABLE SAN JOSE,49999,AFFORDABLE HOUSING,SAN FRANCISCO,CA
29,NISKANEN CENTER FOR PUBLIC POLICY INC,175000,IMMIGRATION REFORM,WASHINGTON,DC
30,NPH ACTION FUND,550000,LEGISLATIVE ADVOCACY,SAN FRANCISCO,CA
31,NPH ACTION FUND,325000,AFFORDABLE HOUSING,SAN FRANCISCO,CA
32,OKLAHOMANS FOR CRIMINAL JUSTICE REFORM ACTION INC,250000,GENERAL OPERATING SUPPORT,OKLAHOMA CITY,OK
33,PICO CALIFORNIA ACTION FUND,750000,GENERAL OPERATING SUPPORT,OAKLAND,CA
34,PICO CALIFORNIA ACTION FUND,100000,AFFORDABLE HOUSING,OAKLAND,CA
35,PRISON FELLOWSHIP MINISTRIES,100000,CRIMINAL JUSTICE REFORM,LANDOWNE,VA
36,SAN MATEANS FOR AFFORDABLE HOUSING,100000,AFFORDABLE HOUSING,BURLINGAME,CA
37,SCHOOLS AND COMMUNITIES FIRST,4500000,GENERAL OPERATING SUPPORT,LOS ANGELES,CA
38,SCHOOLS AND COMMUNITIES FIRST,4500000,GENERAL OPERATING SUPPORT,LOS ANGELES,CA
39,SILICON VALLEY RISING ACTION,30000,GENERAL OPERATING SUPPORT,SAN JOSE,CA
40,SIXTEEN THIRTY FUND,100000,CLEAN SLATE REFORM,WASHINGTON,DC
41,SOCIAL GOOD ADVOCACY FUND INC,20000,AFFORDABLE HOUSING,PORT TOWNSEND,WA
42,SOCIAL GOOD ADVOCACY FUND INC,150000,TECH EQUITY,PORT TOWNSEND,WA
43,THE ADVOCACY FUND,28967,CRIMINAL JUSTICE REFORM,SAN FRANCISCO,CA
44,THE COLLEGE AND COMMUNITY FELLOWSHIP INC,75000,PELL GRANT ELIGIBILITY,NEW YORK,NY
45,TIDES ADVOCACY,100000,CRIMINAL JUSTICE REFORM,SAN FRANCISCO,CA
46,VITAL STRATEGIES INC,100000,COVID-19 RESPONSE,NEW YORK,NY
47,VITAL STRATEGIES INC,100000,COVID-19 RESPONSE,NEW YORK,NY
48,YES ON 16 OPPORTUNITY FOR ALL COALITION,100000,GENERAL OPERATING SUPPORT,SACRAMENTO,CA
49,YIMBY ACTION,65000,AFFORDABLE HOUSING,SAN FRANCISCO,CA
